DATE,TLAACBW027SBOG
2013-08-07,13608.9552
2013-08-14,13640.96
2013-08-21,13631.5406
2013-08-28,13698.9948
2013-09-04,13680.1375
2013-09-11,13704.1011
2013-09-18,13797.2394
2013-09-25,13805.1052
2013-10-02,13910.8904
2013-10-09,13822.1361
2013-10-16,13867.6164
2013-10-23,13905.4156
2013-10-30,13953.9231
2013-11-06,13896.1501
2013-11-13,13938.4033
2013-11-20,13937.9084
2013-11-27,14017.0209
2013-12-04,14045.2743
2013-12-11,14080.3856
2013-12-18,14102.3817
2013-12-25,14119.5004
2014-01-01,13946.0412
2014-01-08,14098.5941
2014-01-15,14120.5704
2014-01-22,14119.9971
2014-01-29,14173.661
2014-02-05,14183.6138
2014-02-12,14212.9466
2014-02-19,14238.0585
2014-02-26,14232.4962
2014-03-05,14316.0601
2014-03-12,14328.8216
2014-03-19,14357.2562
2014-03-26,14352.0716
2014-04-02,14375.4402
2014-04-09,14397.2035
2014-04-16,14431.8823
2014-04-23,14436.1619
2014-04-30,14434.8887
2014-05-07,14463.7729
2014-05-14,14499.3984
2014-05-21,14533.8953
2014-05-28,14578.6898
2014-06-04,14599.2879
2014-06-11,14627.7213
2014-06-18,14659.1813
2014-06-25,14732.7395
2014-07-02,14747.9302
2014-07-09,14740.0265
2014-07-16,14757.922
2014-07-23,14805.9321
2014-07-30,14816.6698
2014-08-06,14810.2859
2014-08-13,14781.8937
2014-08-20,14806.2057
2014-08-27,14806.8896
2014-09-03,14910.8611
2014-09-10,14865.7156
2014-09-17,14948.8775
2014-09-24,14971.9725
2014-10-01,14995.9089
2014-10-08,14935.2137
2014-10-15,15008.4844
2014-10-22,15022.0438
2014-10-29,15020.7621
2014-11-05,14987.6364
2014-11-12,15010.4902
2014-11-19,14986.8248
2014-11-26,15102.8899
2014-12-03,15098.573
2014-12-10,15103.1188
2014-12-17,15127.9776
2014-12-24,15077.4226
2014-12-31,14934.1303
2015-01-07,15200.1483
2015-01-14,15206.6873
2015-01-21,15225.8395
2015-01-28,15210.6167
2015-02-04,15215.8462
2015-02-11,15187.3329
2015-02-18,15217.9145
2015-02-25,15267.8819
2015-03-04,15284.4958
2015-03-11,15334.9802
2015-03-18,15369.3411
2015-03-25,15375.5319
2015-04-01,15364.4681
2015-04-08,15393.5725
2015-04-15,15386.8431
2015-04-22,15382.5579
2015-04-29,15399.4572
2015-05-06,15388.7888
2015-05-13,15382.3147
2015-05-20,15350.8211
2015-05-27,15340.9503
2015-06-03,15323.5188
2015-06-10,15321.0377
2015-06-17,15370.2092
2015-06-24,15331.8222
2015-07-01,15313.7544
2015-07-08,15325.9154
2015-07-15,15389.2518
2015-07-22,15416.7422
2015-07-29,15368.7307
2015-08-05,15372.2567
2015-08-12,15358.4337
2015-08-19,15446.5663
2015-08-26,15499.7957
2015-09-02,15454.4234
2015-09-09,15451.2246
2015-09-16,15415.2953
2015-09-23,15513.7719
2015-09-30,15242.4565
2015-10-07,15572.8888
2015-10-14,15630.4153
2015-10-21,15644.9073
2015-10-28,15608.9006
2015-11-04,15644.0008
2015-11-11,15592.168
2015-11-18,15570.6156
2015-11-25,15549.4706
2015-12-02,15601.4144
2015-12-09,15587.6753
2015-12-16,15585.3536
2015-12-23,15618.291
2015-12-30,15500.5607
2016-01-06,15623.6369
2016-01-13,15631.2194
2016-01-20,15680.9045
2016-01-27,15631.7915
2016-02-03,15709.169
2016-02-10,15711.661
2016-02-17,15711.128
2016-02-24,15706.603
2016-03-02,15721.0598
2016-03-09,15760.8175
2016-03-16,15717.5212
2016-03-23,15739.0581
2016-03-30,15708.6489
2016-04-06,15804.7704
2016-04-13,15854.6912
2016-04-20,15853.8263
2016-04-27,15872.9907
2016-05-04,15925.7779
2016-05-11,15915.7377
2016-05-18,15904.5163
2016-05-25,15905.1024
2016-06-01,15923.5006
2016-06-08,15943.3249
2016-06-15,15965.775
2016-06-22,15964.6099
2016-06-29,15951.2018
2016-07-06,16054.9131
2016-07-13,16022.1393
2016-07-20,15997.1942
2016-07-27,16029.3991
2016-08-03,16073.1567
2016-08-10,16053.1894
2016-08-17,16068.2584
2016-08-24,16035.9248
2016-08-31,16038.5634
2016-09-07,16087.9094
2016-09-14,16151.3596
2016-09-21,16042.5495
2016-09-28,16024.5911
2016-10-05,15987.6143
2016-10-12,16043.0933
2016-10-19,16031.065
2016-10-26,16017.3525
2016-11-02,16040.1511
2016-11-09,16022.8082
2016-11-16,16033.7976
2016-11-23,16000.2536
2016-11-30,15989.996
2016-12-07,16050.7667
2016-12-14,16076.0072
2016-12-21,15977.9841
2016-12-28,15995.6006
2017-01-04,16067.2145
2017-01-11,16012.8235
2017-01-18,16071.8136
2017-01-25,16051.2791
2017-02-01,16107.9532
2017-02-08,16117.14
2017-02-15,16116.8335
2017-02-22,16138.0854
2017-03-01,16190.5264
2017-03-08,16184.4087
2017-03-15,16221.5716
2017-03-22,16189.8341
2017-03-29,16159.2174
2017-04-05,16223.6094
2017-04-12,16214.4634
2017-04-19,16248.2447
2017-04-26,16235.6583
2017-05-03,16222.7641
2017-05-10,16201.8724
2017-05-17,16269.8655
2017-05-24,16282.0752
2017-05-31,16230.3363
2017-06-07,16262.5157
2017-06-14,16227.0531
2017-06-21,16249.1533
2017-06-28,16234.5468
2017-07-05,16270.6265
2017-07-12,16311.6579
2017-07-19,16350.5942
2017-07-26,16413.3725
2017-08-02,16424.4455
2017-08-09,16421.7887
2017-08-16,16481.711
2017-08-23,16462.1919
2017-08-30,16496.842
2017-09-06,16496.3723
2017-09-13,16523.1278
2017-09-20,16518.9458
2017-09-27,16520.6947
2017-10-04,16563.8736
2017-10-11,16536.0886
2017-10-18,16604.7644
2017-10-25,16595.0321
2017-11-01,16627.4283
2017-11-08,16635.1519
2017-11-15,16652.5413
2017-11-22,16653.9304
2017-11-29,16668.8383
2017-12-06,16730.0568
2017-12-13,16724.1373
2017-12-20,16709.382
2017-12-27,16739.0004
2018-01-03,16733.1612
2018-01-10,16669.79
2018-01-17,16704.4181
2018-01-24,16699.2084
2018-01-31,16662.2301
2018-02-07,16635.6689
2018-02-14,16685.199
2018-02-21,16636.0893
2018-02-28,16649.4474
2018-03-07,16616.8714
2018-03-14,16605.2149
2018-03-21,16559.3874
2018-03-28,16574.1451
2018-04-04,16585.0372
2018-04-11,16580.8609
2018-04-18,16632.9374
2018-04-25,16634.0848
2018-05-02,16668.2523
2018-05-09,16700.9262
2018-05-16,16673.3057
2018-05-23,16719.233
2018-05-30,16732.5834
2018-06-06,16706.7413
2018-06-13,16726.7829
2018-06-20,16728.2582
2018-06-27,16771.7442
2018-07-04,16789.159
2018-07-11,16739.157
2018-07-18,16748.3625
2018-07-25,16741.0313
2018-08-01,16711.6965
2018-08-08,16677.8326
